store_name,#뷰맛집,#사진명소,#힐링코스,#분위기좋은,#이색체험,#야경명소,#계절명소,#아이와함께,#가족여행,#데이트코스,#우정여행,#혼자여행,#찐맛집,#디저트맛집,#가성비갑,#양푸짐,#주차편함,#친절해요,#넓은공간,#접근성좋은,#청결한,#웨이팅필수,#산책하기좋은,#역사탐방,#전시관람,#액티비티,#실내데이트,#반려동물동반,#무료입장,#휴식하기좋은
광교호수공원,0.11779569,0.097956136,0.06940207,0.034733582,0.021790717,0.102164574,0.21644548,0.038399246,0.033829574,0.017746266,0.007376821,0.010436838,0.055071056,0.05175484,0.02515361,0.008419218,0.07753996,0.0070690527,0.020380035,0.055632643,0.042685654,0.019863177,0.3687154,0.008420412,0.006144972,0.003925031,0.03126597,0.02486014,0.010615951,0.36527416
광명동굴,0.023138465,0.11179918,0.055012304,0.029212484,0.14573582,0.047881726,0.21357717,0.28340977,0.10202433,0.053167302,0.025219895,0.010455864,0.01312176,0.029811384,0.03128033,0.012435125,0.104030915,0.056113806,0.039809674,0.10770119,0.05545604,0.089767374,0.049555775,0.05419217,0.08550104,0.01131226,0.34494048,0.013121769,0.08837606,0.05929009
광안리해수욕장,0.35134038,0.14383443,0.0914491,0.08782262,0.046466377,0.25419167,0.27717716,0.041791394,0.03369597,0.027869267,0.017685939,0.006028716,0.10474196,0.06254677,0.006169292,0.004403553,0.041989546,0.009126732,0.0143617885,0.1396135,0.029024497,0.042262528,0.10903905,0.009810203,0.03188562,0.0076112547,0.043644276,0.009280752,0.025168777,0.12894547
광한루원,0.09289852,0.16041271,0.050035734,0.07493805,0.09399363,0.098052144,0.15792127,0.07249986,0.067881554,0.023075407,0.013429596,0.016549354,0.01396978,0.04396915,0.028621815,0.0063589094,0.042796154,0.033507604,0.012100347,0.0987871,0.06274217,0.037701882,0.21270967,0.022747865,0.030317666,0.0042456468,0.033024617,0.009129281,0.13914154,0.24379075
국립수목원,0.05544536,0.055125337,0.16508439,0.044256352,0.045860037,0.006788527,0.3547994,0.089549646,0.074383855,0.00909945,0.032698557,0.008036406,0.018342508,0.030342696,0.026403109,0.011111496,0.17455508,0.031441644,0.05924531,0.052995402,0.06269904,0.22272517,0.33931324,0.009422037,0.030157387,0.00624428,0.047014948,0.005942161,0.04963852,0.34617063
국립중앙과학관,0.005760963,0.008413839,0.016276192,0.0026250372,0.20931108,0.0051489933,0.031283997,0.30145884,0.026740622,0.010374513,0.0021538679,0.0042599053,0.016471509,0.02713076,0.04978421,0.0044418867,0.14478822,0.028974934,0.031163782,0.023761148,0.008545862,0.07935312,0.011195155,0.00505353,0.09201228,0.0045478595,0.03442877,0.002540219,0.076605275,0.0169277
국립중앙박물관,0.061054498,0.08518599,0.09161763,0.056601483,0.08785693,0.024420008,0.12750308,0.12250739,0.040609196,0.016127003,0.014595029,0.014745588,0.022118973,0.026376644,0.020833977,0.014056217,0.062786534,0.025629703,0.08331949,0.20608371,0.04119173,0.10965046,0.05322096,0.20202756,0.5518773,0.006708169,0.034335855,0.013472024,0.13620344,0.094875865
국립현대미술관 서울,0.032041624,0.052228216,0.10351854,0.022316612,0.07660855,0.008211781,0.05732155,0.043631066,0.013286161,0.015278123,0.020677304,0.006187621,0.00847292,0.019581107,0.03634561,0.005111593,0.05412434,0.027417967,0.03929825,0.060298562,0.013787822,0.09085285,0.021997195,0.04279053,0.7462735,0.004145076,0.033526644,0.0059928736,0.09267317,0.048900805
김유정 레일바이크,0.20729777,0.06983565,0.028458467,0.032254294,0.21258767,0.015972968,0.15677598,0.09962914,0.073940136,0.020266717,0.016468897,0.011681832,0.009131756,0.06383342,0.02564082,0.0050139655,0.017294852,0.03181456,0.0073859678,0.13200894,0.030774733,0.15362953,0.009240539,0.008547101,0.0075305826,0.01168886,0.092812985,0.009044278,0.007426782,0.02636173
낙산공원,0.2538472,0.1177124,0.054062013,0.06237878,0.024346001,0.23656105,0.1996882,0.013043728,0.010185358,0.058803964,0.015816199,0.017394518,0.031439885,0.05704589,0.008006851,0.004234686,0.021033974,0.012210025,0.010151461,0.09699063,0.010713633,0.03515812,0.24831794,0.019715868,0.015490118,0.0047835545,0.047581784,0.03815116,0.0090013845,0.2125359
낙산사,0.28263763,0.04349141,0.14248951,0.06058053,0.021570964,0.0032645494,0.11639456,0.041236665,0.034281142,0.0033021048,0.006489483,0.0031272322,0.010095887,0.062497254,0.013542695,0.0036902677,0.20455214,0.024936799,0.022562431,0.04569343,0.029110067,0.019571152,0.083590254,0.017487414,0.019063786,0.0029706282,0.06881699,0.008186524,0.0967048,0.10279404
